Date,ibov_pnl_cum,single_pnl_cum,total_pnl_cum
2024-01-08,-2149262.8239132133,9410.84006330682,-2139851.983849907
2024-01-09,-2093926.422440676,9240.048204206616,-2084686.3742364696
2024-01-10,-2076685.9231720816,9383.936418541423,-2067301.9867535403
2024-01-11,-2076475.9062183357,9371.223188137184,-2067104.6830301988
2024-01-12,-2081460.9299596942,9662.97051932754,-2071797.959440367
2024-01-15,-2152291.472629917,9806.538090964785,-2142484.9345389525
2024-01-16,-1952429.1676974676,9822.007027662772,-1942607.1606698052
2024-01-17,-2222136.2318687476,10409.879603888412,-2211726.3522648597
2024-01-18,-2212991.633607684,10542.024417093342,-2202449.609190591
2024-01-19,-2217016.2829355765,10625.16127884497,-2206391.121656732
2024-01-22,-2212688.622663156,10572.3978795403,-2202116.2247836166
2024-01-23,-2131818.6063084938,10573.877860176111,-2121244.728448319
2024-01-24,-2128165.7090544906,10618.541710063688,-2117547.167344428
2024-01-25,-2133806.6591029745,10529.101719243927,-2123277.5573837315
2024-01-26,-2158101.058194354,10352.477673905702,-2147748.580520449
2024-01-29,-2148183.97159172,10239.657885330871,-2137944.3137063896
2024-01-30,-2125651.2009747615,10154.436893694437,-2115496.7640810674
2024-01-31,-2129980.0872129826,10237.431743411042,-2119742.655469572
2024-02-01,-2164847.8350016624,10400.840523969177,-2154446.994477694
2024-02-02,-2125290.791221788,10619.1943506649,-2114671.5968711236
2024-02-05,-2180031.9548640833,10614.719535501477,-2169417.2353285826
2024-02-06,-1893247.9693479736,9894.250393308448,-1883353.7189546658
2024-02-07,-1938918.615570143,7155.933826584536,-1931762.6817435592
2024-02-08,-1857450.174900991,7018.141163871068,-1850432.0337371205
2024-02-09,-1901081.8240899323,7104.52095928405,-1893977.303130649
2024-02-14,-1859646.5322464658,7092.362210684944,-1852554.1700357818
2024-02-15,-1846901.6196794976,7172.6392928290425,-1839728.9803866695
2024-02-16,-2179562.3629046655,7614.307145351578,-2171948.0557593154
2024-02-19,-2243956.635424729,7769.224564671399,-2236187.410860059
2024-02-20,-2228742.0961722485,7576.30521633757,-2221165.7909559123
2024-02-21,-2255830.8639578437,7255.831417289723,-2248575.032540555
2024-02-22,-2275041.3680606736,7086.239691073573,-2267955.128369601
2024-02-23,-2287901.5633252678,7122.42531620452,-2280779.138009064
2024-02-26,-2351411.2575744684,7129.198142282628,-2344282.0594321867
2024-02-27,-2212313.543887559,6800.542209219542,-2205513.00167834
2024-02-28,-2157915.316647657,6473.488666035159,-2151441.827981623
2024-02-29,-2138394.6210297057,5883.630588867676,-2132510.990440839
2024-03-01,-2135904.647335024,5836.222518423374,-2130068.424816602
2024-03-04,-2182370.464832933,5947.665673893799,-2176422.7991590407
2024-03-05,-2183820.449027933,5984.4167961675375,-2177836.032231767
2024-03-06,-2237145.1923139896,5965.583950496722,-2231179.6083634943
2024-03-07,-2255155.382143122,5960.98838687084,-2249194.3937562527
2024-03-08,-2213612.096482458,5046.533261350619,-2208565.5632211086
2024-03-11,-2213188.648389293,5014.134818239387,-2208174.5135710547
2024-03-12,-2115166.725406881,4848.722024592444,-2110318.00338229
2024-03-13,-2109074.6469060243,4876.059836326253,-2104198.5870696995
2024-03-14,-2113142.0918835048,4878.921034757137,-2108263.170848749
2024-03-15,-2098553.7642255058,4840.2959311959985,-2093713.4682943113
2024-03-18,-2268443.402092696,4909.711898660025,-2263533.6901940377
2024-03-19,-2273832.2881839653,4846.2102113860865,-2268986.0779725807
2024-03-20,-2235003.091001752,4824.649394108394,-2230178.441607645
2024-03-21,-2200175.0604792004,4711.508863687248,-2195463.5516155143
2024-03-22,-2191937.392838488,4701.994175584612,-2187235.3986629043
2024-03-25,-2300788.7045328165,4726.211744806804,-2296062.4927880107
2024-03-26,-2307334.5994121013,4551.393989559013,-2302783.2054225435
2024-03-27,-2285161.4064954044,4701.502825493483,-2280459.903669912
2024-03-28,-2303094.7280599508,4832.864041553628,-2298261.8640183983
2024-04-01,-2264442.069964754,4764.998457542879,-2259677.0715072122
2024-04-02,-2297070.0862377943,4776.7599152988105,-2292293.326322497
2024-04-03,-2299895.278410559,4754.150764781581,-2295141.127645779
2024-04-04,-2320593.807219503,4741.507646769595,-2315852.2995727346
2024-04-05,-2368093.5899612755,4709.928674492837,-2363383.661286784
2024-04-08,-2209506.620180712,4475.377941074595,-2205031.2422396387
2024-04-09,-2466017.0244573993,5119.823144322214,-2460897.2013130784
2024-04-10,-2371003.8543744665,7903.374246194625,-2363100.4801282734
2024-04-11,-2423731.500171696,8055.028247943954,-2415676.4719237536
2024-04-12,-2348353.582648197,8040.706744236549,-2340312.8759039626
2024-04-15,-2371241.0698012654,7949.4472632410825,-2363291.6225380264
2024-04-16,-2367499.158153033,7986.257312006547,-2359512.9008410284
2024-04-17,-2405865.403541333,8087.319286058392,-2397778.0842552767
2024-04-18,-2411757.1958098835,8144.074711379733,-2403613.121098506
2024-04-19,-2405378.778038747,8330.688815329679,-2397048.08922342
2024-04-22,-2395035.9890662762,8559.515981907538,-2386476.473084371
2024-04-23,-2395024.508642789,8622.006109209264,-2386402.502533582
2024-04-24,-2409923.2702772263,8602.495172823577,-2401320.775104405
2024-04-25,-2413409.1862045988,8660.180404519964,-2404749.005800081
2024-04-26,-2432727.597362007,8845.327149106713,-2423882.2702129027
2024-04-29,-2474143.3495220845,9089.07187530647,-2465054.2776467805
2024-04-30,-2445184.101208631,9611.214384247502,-2435572.8868243857
